sub_region_2,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,Test Date,County,New Positives,Cumulative Number of Positives,Total Number of Tests Performed,Cumulative Number of Tests Performed
Albany,03/01/2020,10.0,13.0,19.0,4.0,7.0,-1.0,03/01/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/02/2020,11.0,15.0,29.0,5.0,3.0,0.0,03/02/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/03/2020,8.0,15.0,41.0,8.0,3.0,-1.0,03/03/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/04/2020,7.0,8.0,6.0,2.0,3.0,0.0,03/04/2020,Albany,0.0,0.0,0.0,0.0
Albany,03/05/2020,5.0,13.0,18.0,2.0,3.0,-1.0,03/05/2020,Albany,0.0,0.0,3.0,3.0
Albany,03/06/2020,6.0,10.0,12.0,7.0,3.0,0.0,03/06/2020,Albany,0.0,0.0,0.0,3.0
Albany,03/07/2020,12.0,12.0,78.0,11.0,6.0,-1.0,03/07/2020,Albany,0.0,0.0,5.0,8.0
Albany,03/08/2020,9.0,13.0,186.0,7.0,2.0,-1.0,03/08/2020,Albany,0.0,0.0,2.0,10.0
Albany,03/09/2020,10.0,16.0,114.0,4.0,2.0,-1.0,03/09/2020,Albany,0.0,0.0,3.0,13.0
Albany,03/10/2020,0.0,9.0,-2.0,0.0,2.0,1.0,03/10/2020,Albany,0.0,0.0,2.0,15.0
Albany,03/11/2020,3.0,15.0,11.0,2.0,0.0,1.0,03/11/2020,Albany,0.0,0.0,13.0,28.0
Albany,03/12/2020,2.0,32.0,6.0,-3.0,-1.0,1.0,03/12/2020,Albany,1.0,1.0,11.0,39.0
Albany,03/13/2020,-7.0,34.0,-1.0,-8.0,-7.0,5.0,03/13/2020,Albany,2.0,3.0,26.0,65.0
Albany,03/14/2020,-15.0,18.0,64.0,-13.0,-4.0,4.0,03/14/2020,Albany,3.0,6.0,108.0,173.0
Albany,03/15/2020,-19.0,11.0,99.0,-15.0,-7.0,3.0,03/15/2020,Albany,6.0,12.0,108.0,281.0
Albany,03/16/2020,-11.0,28.0,5.0,-21.0,-20.0,8.0,03/16/2020,Albany,11.0,23.0,140.0,421.0
Albany,03/17/2020,-33.0,17.0,-22.0,-28.0,-35.0,15.0,03/17/2020,Albany,13.0,36.0,267.0,688.0
Albany,03/18/2020,-36.0,7.0,23.0,-30.0,-40.0,17.0,03/18/2020,Albany,7.0,43.0,331.0,1019.0
Albany,03/19/2020,-40.0,4.0,-16.0,-40.0,-43.0,18.0,03/19/2020,Albany,18.0,61.0,450.0,1469.0
Albany,03/20/2020,-43.0,7.0,5.0,-45.0,-46.0,21.0,03/20/2020,Albany,27.0,88.0,499.0,1968.0
Albany,03/21/2020,-49.0,-5.0,133.0,-37.0,-27.0,11.0,03/21/2020,Albany,35.0,123.0,577.0,2545.0
Albany,03/22/2020,-54.0,-15.0,90.0,-52.0,-29.0,10.0,03/22/2020,Albany,4.0,127.0,197.0,2742.0
Albany,03/23/2020,-60.0,-29.0,-55.0,-57.0,-56.0,23.0,03/23/2020,Albany,19.0,146.0,144.0,2886.0
Albany,03/24/2020,-57.0,-19.0,-47.0,-54.0,-56.0,24.0,03/24/2020,Albany,6.0,152.0,198.0,3084.0
Albany,03/25/2020,-54.0,-18.0,-27.0,-56.0,-56.0,24.0,03/25/2020,Albany,19.0,171.0,93.0,3177.0
Albany,03/26/2020,-51.0,-11.0,43.0,-53.0,-55.0,23.0,03/26/2020,Albany,16.0,187.0,112.0,3289.0
Albany,03/27/2020,-52.0,-15.0,41.0,-52.0,-55.0,24.0,03/27/2020,Albany,8.0,195.0,101.0,3390.0
Albany,03/28/2020,-59.0,-25.0,33.0,-59.0,-37.0,14.0,03/28/2020,Albany,10.0,205.0,73.0,3463.0
Albany,03/29/2020,-59.0,-30.0,-15.0,-64.0,-36.0,13.0,03/29/2020,Albany,12.0,217.0,61.0,3524.0
Albany,03/30/2020,-51.0,-19.0,-37.0,-60.0,-56.0,23.0,03/30/2020,Albany,9.0,226.0,72.0,3596.0
Albany,03/31/2020,-52.0,-15.0,-20.0,-56.0,-58.0,23.0,03/31/2020,Albany,14.0,240.0,108.0,3704.0
Albany,04/01/2020,-49.0,-12.0,12.0,-53.0,-57.0,23.0,04/01/2020,Albany,13.0,253.0,106.0,3810.0
Albany,04/02/2020,-52.0,-12.0,-13.0,-58.0,-58.0,24.0,04/02/2020,Albany,14.0,267.0,105.0,3915.0
Albany,04/03/2020,-54.0,-15.0,-39.0,-61.0,-58.0,27.0,04/03/2020,Albany,26.0,293.0,123.0,4038.0
Albany,04/04/2020,-55.0,-16.0,173.0,-55.0,-37.0,13.0,04/04/2020,Albany,12.0,305.0,117.0,4155.0
Albany,04/05/2020,-56.0,-23.0,91.0,-62.0,-37.0,11.0,04/05/2020,Albany,14.0,319.0,89.0,4244.0
Albany,04/06/2020,-49.0,-8.0,37.0,-57.0,-58.0,22.0,04/06/2020,Albany,14.0,333.0,86.0,4330.0
Albany,04/07/2020,-60.0,20.0,30.0,-52.0,-58.0,23.0,04/07/2020,Albany,9.0,342.0,74.0,4404.0
Albany,04/08/2020,-63.0,15.0,-17.0,-53.0,-59.0,25.0,04/08/2020,Albany,37.0,379.0,229.0,4633.0
Albany,04/09/2020,-66.0,15.0,-44.0,-59.0,-59.0,26.0,04/09/2020,Albany,47.0,426.0,332.0,4965.0
Albany,04/10/2020,-64.0,26.0,-31.0,-60.0,-60.0,27.0,04/10/2020,Albany,20.0,446.0,159.0,5124.0
Albany,04/11/2020,-62.0,37.0,66.0,-54.0,-37.0,14.0,04/11/2020,Albany,32.0,478.0,223.0,5347.0
Albany,04/12/2020,-80.0,-53.0,,-66.0,-41.0,12.0,04/12/2020,Albany,21.0,499.0,193.0,5540.0
Albany,04/13/2020,-68.0,-25.0,-46.0,-65.0,-59.0,25.0,04/13/2020,Albany,36.0,535.0,216.0,5756.0
Albany,04/14/2020,-62.0,-12.0,-2.0,-54.0,-57.0,23.0,04/14/2020,Albany,13.0,548.0,106.0,5862.0
Albany,04/15/2020,-61.0,-15.0,-7.0,-55.0,-57.0,24.0,04/15/2020,Albany,33.0,581.0,301.0,6163.0
Albany,04/16/2020,-62.0,-13.0,-22.0,-58.0,-58.0,24.0,04/16/2020,Albany,38.0,619.0,273.0,6436.0
Albany,04/17/2020,-64.0,-17.0,-9.0,-59.0,-57.0,26.0,04/17/2020,Albany,29.0,648.0,291.0,6727.0
Albany,04/18/2020,-67.0,-22.0,14.0,-60.0,-36.0,15.0,04/18/2020,Albany,34.0,682.0,305.0,7032.0
Albany,04/19/2020,-63.0,-21.0,,-61.0,-33.0,10.0,04/19/2020,Albany,5.0,687.0,103.0,7135.0
Albany,04/20/2020,-59.0,-15.0,14.0,-57.0,-57.0,22.0,04/20/2020,Albany,17.0,704.0,164.0,7299.0
Albany,04/21/2020,-65.0,-19.0,-43.0,-61.0,-57.0,24.0,04/21/2020,Albany,33.0,737.0,236.0,7535.0
Albany,04/22/2020,-63.0,-18.0,-40.0,-58.0,-57.0,25.0,04/22/2020,Albany,21.0,758.0,178.0,7713.0
Albany,04/23/2020,-62.0,-14.0,17.0,-57.0,-58.0,24.0,04/23/2020,Albany,47.0,805.0,319.0,8032.0
Albany,04/24/2020,-64.0,-17.0,-29.0,-61.0,-56.0,26.0,04/24/2020,Albany,94.0,899.0,626.0,8658.0
Albany,04/25/2020,-61.0,-15.0,,-48.0,-34.0,10.0,04/25/2020,Albany,49.0,948.0,402.0,9060.0
Albany,04/26/2020,-66.0,-24.0,-16.0,-66.0,-36.0,12.0,04/26/2020,Albany,31.0,979.0,263.0,9323.0
Albany,04/27/2020,-60.0,-16.0,-38.0,-61.0,-56.0,23.0,04/27/2020,Albany,30.0,1009.0,197.0,9520.0
Albany,04/28/2020,-57.0,-10.0,40.0,-53.0,-56.0,16.0,04/28/2020,Albany,58.0,1067.0,351.0,9871.0
Albany,04/29/2020,-59.0,-13.0,4.0,-54.0,-56.0,23.0,04/29/2020,Albany,98.0,1165.0,439.0,10310.0
Albany,04/30/2020,-61.0,-15.0,-37.0,-58.0,-57.0,25.0,04/30/2020,Albany,39.0,1204.0,378.0,10688.0
Albany,05/01/2020,-60.0,-13.0,-16.0,-55.0,-56.0,25.0,05/01/2020,Albany,34.0,1238.0,434.0,11122.0
Albany,05/02/2020,-56.0,-10.0,,-42.0,-30.0,9.0,05/02/2020,Albany,20.0,1258.0,441.0,11563.0
Albany,05/03/2020,-54.0,-12.0,,-49.0,-31.0,7.0,05/03/2020,Albany,29.0,1287.0,391.0,11954.0
Albany,05/04/2020,-54.0,-14.0,-11.0,-56.0,-55.0,21.0,05/04/2020,Albany,7.0,1294.0,130.0,12084.0
Albany,05/05/2020,-52.0,-4.0,31.0,-52.0,-55.0,21.0,05/05/2020,Albany,27.0,1321.0,367.0,12451.0
Albany,05/06/2020,-58.0,-14.0,8.0,-53.0,-55.0,22.0,05/06/2020,Albany,27.0,1348.0,407.0,12858.0
Albany,05/07/2020,-54.0,-8.0,74.0,-49.0,-54.0,21.0,05/07/2020,Albany,36.0,1384.0,385.0,13243.0
Albany,05/08/2020,-57.0,-6.0,30.0,-54.0,-53.0,23.0,05/08/2020,Albany,32.0,1416.0,488.0,13731.0
Albany,05/09/2020,-58.0,-5.0,40.0,-56.0,-30.0,12.0,05/09/2020,Albany,16.0,1432.0,455.0,14186.0
Albany,05/10/2020,-56.0,-11.0,,-54.0,-27.0,7.0,05/10/2020,Albany,24.0,1456.0,384.0,14570.0
Albany,05/11/2020,-58.0,-19.0,-27.0,-57.0,-53.0,22.0,05/11/2020,Albany,23.0,1479.0,341.0,14911.0
Albany,05/12/2020,-55.0,-11.0,3.0,-53.0,-53.0,21.0,05/12/2020,Albany,15.0,1494.0,335.0,15246.0
Albany,05/13/2020,-52.0,-12.0,37.0,-48.0,-53.0,21.0,05/13/2020,Albany,15.0,1509.0,546.0,15792.0
Albany,05/14/2020,-51.0,-10.0,69.0,-49.0,-53.0,20.0,05/14/2020,Albany,29.0,1538.0,541.0,16333.0
Albany,05/15/2020,-55.0,-15.0,21.0,-54.0,-53.0,23.0,05/15/2020,Albany,34.0,1572.0,482.0,16815.0
Albany,05/16/2020,-53.0,-14.0,,-49.0,-27.0,7.0,05/16/2020,Albany,7.0,1579.0,411.0,17226.0
Albany,05/17/2020,-50.0,-18.0,,-54.0,-25.0,7.0,05/17/2020,Albany,31.0,1610.0,342.0,17568.0
Albany,05/18/2020,-47.0,-11.0,4.0,-53.0,-52.0,20.0,05/18/2020,Albany,45.0,1655.0,398.0,17966.0
Albany,05/19/2020,-46.0,-8.0,42.0,-49.0,-52.0,19.0,05/19/2020,Albany,27.0,1682.0,697.0,18663.0
Albany,05/20/2020,-46.0,-8.0,68.0,-47.0,-52.0,19.0,05/20/2020,Albany,18.0,1700.0,650.0,19313.0
Albany,05/21/2020,-45.0,-3.0,89.0,-44.0,-52.0,19.0,05/21/2020,Albany,56.0,1756.0,920.0,20233.0
Albany,05/22/2020,-47.0,-4.0,79.0,-48.0,-52.0,19.0,05/22/2020,Albany,14.0,1770.0,655.0,20888.0
Albany,05/23/2020,-51.0,-11.0,,-48.0,-25.0,7.0,05/23/2020,Albany,12.0,1782.0,438.0,21326.0
Albany,05/24/2020,-49.0,-13.0,,-50.0,-22.0,4.0,05/24/2020,Albany,9.0,1791.0,378.0,21704.0
Albany,05/25/2020,-52.0,-14.0,98.0,-57.0,-77.0,20.0,05/25/2020,Albany,2.0,1793.0,328.0,22032.0
Albany,05/26/2020,-47.0,-10.0,29.0,-49.0,-51.0,18.0,05/26/2020,Albany,3.0,1796.0,369.0,22401.0
Albany,05/27/2020,-45.0,-7.0,38.0,-45.0,-50.0,19.0,05/27/2020,Albany,18.0,1814.0,666.0,23067.0
Albany,05/28/2020,-45.0,-6.0,36.0,-44.0,-49.0,19.0,05/28/2020,Albany,20.0,1834.0,416.0,23483.0
Albany,05/29/2020,-51.0,-11.0,16.0,-54.0,-49.0,21.0,05/29/2020,Albany,9.0,1843.0,521.0,24004.0
Albany,05/30/2020,-49.0,-13.0,,-43.0,-14.0,7.0,05/30/2020,Albany,17.0,1860.0,760.0,24764.0
Albany,05/31/2020,-49.0,-16.0,,-48.0,-16.0,6.0,05/31/2020,Albany,22.0,1882.0,537.0,25301.0
Albany,06/01/2020,-43.0,-3.0,28.0,-46.0,-48.0,17.0,06/01/2020,Albany,18.0,1900.0,618.0,25919.0
Albany,06/02/2020,-46.0,-5.0,4.0,-49.0,-48.0,18.0,06/02/2020,Albany,20.0,1920.0,1170.0,27089.0
Albany,06/03/2020,-44.0,-4.0,40.0,-43.0,-48.0,18.0,06/03/2020,Albany,10.0,1930.0,817.0,27906.0
Albany,06/04/2020,-42.0,-1.0,67.0,-42.0,-47.0,16.0,06/04/2020,Albany,11.0,1941.0,1179.0,29085.0
Albany,06/05/2020,-46.0,-8.0,40.0,-46.0,-47.0,18.0,06/05/2020,Albany,12.0,1953.0,1164.0,30249.0
Albany,06/06/2020,-46.0,-11.0,235.0,-42.0,-14.0,5.0,06/06/2020,Albany,8.0,1961.0,751.0,31000.0
Albany,06/07/2020,-43.0,-15.0,,-43.0,-12.0,4.0,06/07/2020,Albany,17.0,1978.0,1194.0,32194.0
Albany,06/08/2020,-36.0,-3.0,60.0,-44.0,-46.0,15.0,06/08/2020,Albany,5.0,1983.0,616.0,32810.0
Albany,06/09/2020,-38.0,-4.0,41.0,-42.0,-46.0,15.0,06/09/2020,Albany,3.0,1986.0,569.0,33379.0
Albany,06/10/2020,-38.0,-8.0,29.0,-39.0,-46.0,16.0,06/10/2020,Albany,10.0,1996.0,774.0,34153.0
Albany,06/11/2020,-37.0,-4.0,37.0,-31.0,-46.0,17.0,06/11/2020,Albany,11.0,2007.0,1103.0,35256.0
Albany,06/12/2020,-40.0,-7.0,77.0,-33.0,-45.0,15.0,06/12/2020,Albany,9.0,2016.0,739.0,35995.0
Albany,06/13/2020,-40.0,-14.0,,-26.0,-11.0,5.0,06/13/2020,Albany,4.0,2020.0,874.0,36869.0
Albany,06/14/2020,-38.0,-14.0,,-28.0,-12.0,3.0,06/14/2020,Albany,2.0,2022.0,496.0,37365.0
Albany,06/15/2020,-29.0,-4.0,63.0,-31.0,-45.0,14.0,06/15/2020,Albany,4.0,2026.0,577.0,37942.0
Albany,06/16/2020,-30.0,-1.0,64.0,-27.0,-44.0,14.0,06/16/2020,Albany,3.0,2029.0,592.0,38534.0
Albany,06/17/2020,-31.0,-3.0,62.0,-27.0,-45.0,15.0,06/17/2020,Albany,5.0,2034.0,843.0,39377.0
Albany,06/18/2020,-30.0,-1.0,70.0,-24.0,-45.0,14.0,06/18/2020,Albany,15.0,2049.0,1070.0,40447.0
Albany,06/19/2020,-34.0,-2.0,71.0,-30.0,-48.0,14.0,06/19/2020,Albany,4.0,2053.0,610.0,41057.0
Albany,06/20/2020,-38.0,-9.0,,-23.0,-11.0,2.0,06/20/2020,Albany,1.0,2054.0,784.0,41841.0
Albany,06/21/2020,-36.0,-10.0,,-28.0,-9.0,0.0,06/21/2020,Albany,6.0,2060.0,931.0,42772.0
Albany,06/22/2020,-29.0,-8.0,43.0,-31.0,-47.0,13.0,06/22/2020,Albany,2.0,2062.0,427.0,43199.0
Albany,06/23/2020,-30.0,-4.0,45.0,-27.0,-46.0,13.0,06/23/2020,Albany,3.0,2065.0,586.0,43785.0
Albany,06/24/2020,-30.0,-6.0,55.0,-27.0,-44.0,14.0,06/24/2020,Albany,11.0,2076.0,1325.0,45110.0
Albany,06/25/2020,-30.0,-1.0,73.0,-25.0,-44.0,13.0,06/25/2020,Albany,8.0,2084.0,630.0,45740.0
Albany,06/26/2020,-35.0,-2.0,77.0,-29.0,-44.0,13.0,06/26/2020,Albany,7.0,2091.0,799.0,46539.0
Albany,06/27/2020,-38.0,-9.0,121.0,-25.0,-13.0,5.0,06/27/2020,Albany,6.0,2097.0,762.0,47301.0
Albany,06/28/2020,-39.0,-14.0,85.0,-28.0,-10.0,4.0,06/28/2020,Albany,2.0,2099.0,514.0,47815.0
Albany,06/29/2020,-27.0,1.0,30.0,-35.0,-44.0,14.0,06/29/2020,Albany,3.0,2102.0,543.0,48358.0
Albany,06/30/2020,-28.0,1.0,10.0,-39.0,-44.0,15.0,06/30/2020,Albany,10.0,2112.0,731.0,49089.0
Albany,07/01/2020,-25.0,8.0,45.0,-32.0,-44.0,14.0,07/01/2020,Albany,13.0,2125.0,928.0,50017.0
Albany,07/02/2020,-25.0,10.0,58.0,-32.0,-45.0,12.0,07/02/2020,Albany,5.0,2130.0,805.0,50822.0
Albany,07/03/2020,-33.0,11.0,24.0,-44.0,-62.0,18.0,07/03/2020,Albany,15.0,2145.0,970.0,51792.0
Albany,07/04/2020,-55.0,-18.0,,-43.0,-24.0,2.0,07/04/2020,Albany,7.0,2152.0,1098.0,52890.0
Albany,07/05/2020,-40.0,-16.0,,-36.0,-13.0,0.0,07/05/2020,Albany,8.0,2160.0,626.0,53516.0
Albany,07/06/2020,-27.0,3.0,79.0,-37.0,-47.0,12.0,07/06/2020,Albany,4.0,2164.0,421.0,53937.0
Albany,07/07/2020,-29.0,4.0,75.0,-35.0,-45.0,13.0,07/07/2020,Albany,11.0,2175.0,1020.0,54957.0
Albany,07/08/2020,-31.0,-1.0,34.0,-40.0,-44.0,15.0,07/08/2020,Albany,8.0,2183.0,1260.0,56217.0
Albany,07/09/2020,-30.0,4.0,77.0,-36.0,-44.0,13.0,07/09/2020,Albany,7.0,2190.0,625.0,56842.0
Albany,07/10/2020,-35.0,-1.0,40.0,-39.0,-45.0,15.0,07/10/2020,Albany,18.0,2208.0,1252.0,58094.0
Albany,07/11/2020,-33.0,-7.0,217.0,-36.0,-13.0,4.0,07/11/2020,Albany,11.0,2219.0,815.0,58909.0
Albany,07/12/2020,-31.0,-9.0,,-37.0,-12.0,2.0,07/12/2020,Albany,6.0,2225.0,594.0,59503.0
Albany,07/13/2020,-25.0,3.0,81.0,-39.0,-45.0,12.0,07/13/2020,Albany,22.0,2247.0,1139.0,60642.0
Albany,07/14/2020,-26.0,2.0,61.0,-38.0,-45.0,13.0,07/14/2020,Albany,33.0,2280.0,860.0,61502.0
Albany,07/15/2020,-27.0,0.0,75.0,-35.0,-43.0,13.0,07/15/2020,Albany,10.0,2290.0,1065.0,62567.0
Albany,07/16/2020,-28.0,3.0,74.0,-36.0,-43.0,13.0,07/16/2020,Albany,20.0,2310.0,1098.0,63665.0
Albany,07/17/2020,-31.0,1.0,59.0,-41.0,-43.0,13.0,07/17/2020,Albany,5.0,2315.0,816.0,64481.0
Albany,07/18/2020,-36.0,-9.0,,-33.0,-11.0,2.0,07/18/2020,Albany,3.0,2318.0,335.0,64816.0
Albany,07/19/2020,-35.0,-14.0,,-40.0,-12.0,1.0,07/19/2020,Albany,4.0,2322.0,877.0,65693.0
Albany,07/20/2020,-26.0,0.0,68.0,-39.0,-45.0,12.0,07/20/2020,Albany,29.0,2351.0,1354.0,67047.0
Albany,07/21/2020,-26.0,-2.0,74.0,-38.0,-44.0,12.0,07/21/2020,Albany,18.0,2369.0,981.0,68028.0
Albany,07/22/2020,-28.0,-3.0,41.0,-39.0,-44.0,14.0,07/22/2020,Albany,32.0,2401.0,975.0,69003.0
Albany,07/23/2020,-27.0,1.0,41.0,-37.0,-43.0,14.0,07/23/2020,Albany,25.0,2426.0,896.0,69899.0
Albany,07/24/2020,-30.0,-2.0,92.0,-39.0,-43.0,12.0,07/24/2020,Albany,12.0,2438.0,632.0,70531.0
Albany,07/25/2020,-35.0,-10.0,278.0,-35.0,-14.0,1.0,07/25/2020,Albany,13.0,2451.0,817.0,71348.0
Albany,07/26/2020,-32.0,-11.0,237.0,-37.0,-13.0,0.0,07/26/2020,Albany,2.0,2453.0,820.0,72168.0
Albany,07/27/2020,-25.0,-1.0,47.0,-40.0,-45.0,12.0,07/27/2020,Albany,15.0,2468.0,929.0,73097.0
Albany,07/28/2020,-26.0,0.0,,-39.0,-44.0,13.0,07/28/2020,Albany,12.0,2480.0,843.0,73940.0
Albany,07/29/2020,-27.0,-3.0,60.0,-36.0,-43.0,13.0,07/29/2020,Albany,13.0,2493.0,763.0,74703.0
Albany,07/30/2020,-25.0,1.0,79.0,-30.0,-43.0,12.0,07/30/2020,Albany,10.0,2503.0,745.0,75448.0
Albany,07/31/2020,-29.0,-3.0,95.0,-32.0,-44.0,12.0,07/31/2020,Albany,12.0,2515.0,1055.0,76503.0
Albany,08/01/2020,-33.0,-10.0,,-27.0,-14.0,1.0,08/01/2020,Albany,6.0,2521.0,463.0,76966.0
Albany,08/02/2020,-29.0,-11.0,,-34.0,-16.0,2.0,08/02/2020,Albany,10.0,2531.0,529.0,77495.0
Albany,08/03/2020,-21.0,2.0,90.0,-33.0,-44.0,11.0,08/03/2020,Albany,12.0,2543.0,770.0,78265.0
Albany,08/04/2020,-39.0,-19.0,-37.0,-45.0,-47.0,17.0,08/04/2020,Albany,13.0,2556.0,1218.0,79483.0
Albany,08/05/2020,-20.0,6.0,88.0,-32.0,-43.0,12.0,08/05/2020,Albany,9.0,2565.0,800.0,80283.0
Albany,08/06/2020,-24.0,4.0,108.0,-32.0,-43.0,11.0,08/06/2020,Albany,8.0,2573.0,757.0,81040.0
Albany,08/07/2020,-29.0,-2.0,43.0,-38.0,-44.0,13.0,08/07/2020,Albany,8.0,2581.0,946.0,81986.0
Albany,08/08/2020,-32.0,-10.0,,-27.0,-13.0,2.0,08/08/2020,Albany,14.0,2595.0,903.0,82889.0
Albany,08/09/2020,-30.0,-10.0,,-31.0,-14.0,0.0,08/09/2020,Albany,5.0,2600.0,739.0,83628.0
Albany,08/10/2020,-23.0,0.0,56.0,-36.0,-45.0,12.0,08/10/2020,Albany,14.0,2614.0,1127.0,84755.0
Albany,08/11/2020,-25.0,-2.0,,-38.0,-44.0,13.0,08/11/2020,Albany,10.0,2624.0,1451.0,86206.0
Albany,08/12/2020,-25.0,-3.0,83.0,-35.0,-43.0,12.0,08/12/2020,Albany,12.0,2636.0,1052.0,87258.0
Albany,08/13/2020,-25.0,1.0,98.0,-34.0,-43.0,12.0,08/13/2020,Albany,3.0,2639.0,1173.0,88431.0
Albany,08/14/2020,-30.0,-3.0,86.0,-36.0,-43.0,12.0,08/14/2020,Albany,4.0,2643.0,1109.0,89540.0
Albany,08/15/2020,-33.0,-11.0,,-31.0,-15.0,1.0,08/15/2020,Albany,11.0,2654.0,1142.0,90682.0
Albany,08/16/2020,-28.0,-10.0,,-34.0,-14.0,1.0,08/16/2020,Albany,3.0,2657.0,700.0,91382.0
Albany,08/17/2020,-22.0,1.0,,-37.0,-46.0,12.0,08/17/2020,Albany,4.0,2661.0,991.0,92373.0
Albany,08/18/2020,-24.0,-1.0,,-35.0,-43.0,12.0,08/18/2020,Albany,14.0,2675.0,1197.0,93570.0
Albany,08/19/2020,-24.0,-2.0,,-36.0,-44.0,12.0,08/19/2020,Albany,9.0,2684.0,1750.0,95320.0
Albany,08/20/2020,-24.0,1.0,,-34.0,-43.0,11.0,08/20/2020,Albany,7.0,2691.0,1443.0,96763.0
Albany,08/21/2020,-29.0,-3.0,,-37.0,-44.0,12.0,08/21/2020,Albany,2.0,2693.0,1336.0,98099.0
Albany,08/22/2020,-31.0,-10.0,,-35.0,-13.0,1.0,08/22/2020,Albany,6.0,2699.0,1263.0,99362.0
Albany,08/23/2020,-30.0,-13.0,,-39.0,-14.0,1.0,08/23/2020,Albany,2.0,2701.0,490.0,99852.0
Albany,08/24/2020,-21.0,-1.0,,-41.0,-44.0,11.0,08/24/2020,Albany,10.0,2711.0,972.0,100824.0
Albany,08/25/2020,-26.0,-2.0,,-38.0,-44.0,12.0,08/25/2020,Albany,7.0,2718.0,1042.0,101866.0
Albany,08/26/2020,-25.0,-2.0,,-37.0,-42.0,11.0,08/26/2020,Albany,18.0,2736.0,1266.0,103132.0
Albany,08/27/2020,-29.0,-7.0,,-40.0,-44.0,14.0,08/27/2020,Albany,10.0,2746.0,1264.0,104396.0
Albany,08/28/2020,-28.0,-3.0,,-38.0,-43.0,11.0,08/28/2020,Albany,8.0,2754.0,1183.0,105579.0
Albany,08/29/2020,-30.0,-10.0,,-38.0,-17.0,5.0,08/29/2020,Albany,10.0,2764.0,1519.0,107098.0
Albany,08/30/2020,-25.0,-10.0,,-35.0,-14.0,0.0,08/30/2020,Albany,6.0,2770.0,594.0,107692.0
Albany,08/31/2020,-19.0,-2.0,,-38.0,-44.0,10.0,08/31/2020,Albany,16.0,2786.0,841.0,108533.0
Albany,09/01/2020,-21.0,1.0,,-35.0,-45.0,11.0,09/01/2020,Albany,5.0,2791.0,1116.0,109649.0
Albany,09/02/2020,-24.0,-4.0,,-35.0,-44.0,13.0,09/02/2020,Albany,11.0,2802.0,1655.0,111304.0
Albany,09/03/2020,-21.0,4.0,,-28.0,-42.0,11.0,09/03/2020,Albany,17.0,2819.0,899.0,112203.0
Albany,09/04/2020,-25.0,1.0,,-31.0,-44.0,11.0,09/04/2020,Albany,4.0,2823.0,996.0,113199.0
Albany,09/05/2020,-30.0,-8.0,,-26.0,-15.0,0.0,09/05/2020,Albany,8.0,2831.0,824.0,114023.0
Albany,09/06/2020,-27.0,-10.0,,-34.0,-14.0,-1.0,09/06/2020,Albany,2.0,2833.0,727.0,114750.0
Albany,09/07/2020,-27.0,-5.0,,-39.0,-75.0,16.0,09/07/2020,Albany,7.0,2840.0,665.0,115415.0
Albany,09/08/2020,-26.0,-1.0,,-34.0,-46.0,11.0,09/08/2020,Albany,6.0,2846.0,499.0,115914.0
Albany,09/09/2020,-25.0,-2.0,,-36.0,-44.0,11.0,09/09/2020,Albany,13.0,2859.0,724.0,116638.0
Albany,09/10/2020,-26.0,-1.0,,-33.0,-43.0,11.0,09/10/2020,Albany,23.0,2882.0,1326.0,117964.0
Albany,09/11/2020,-29.0,-3.0,91.0,-36.0,-43.0,11.0,09/11/2020,Albany,14.0,2896.0,1386.0,119350.0
Albany,09/12/2020,-27.0,-8.0,,-35.0,-15.0,1.0,09/12/2020,Albany,19.0,2915.0,844.0,120194.0
Albany,09/13/2020,-28.0,-9.0,203.0,-37.0,-15.0,2.0,09/13/2020,Albany,6.0,2921.0,555.0,120749.0
Albany,09/14/2020,-23.0,-2.0,70.0,-40.0,-43.0,11.0,09/14/2020,Albany,15.0,2936.0,797.0,121546.0
Albany,09/15/2020,-24.0,-4.0,62.0,-39.0,-42.0,11.0,09/15/2020,Albany,12.0,2948.0,997.0,122543.0
Albany,09/16/2020,-26.0,-4.0,69.0,-40.0,-42.0,11.0,09/16/2020,Albany,21.0,2969.0,1084.0,123627.0
Albany,09/17/2020,-26.0,-4.0,67.0,-37.0,-40.0,11.0,09/17/2020,Albany,10.0,2979.0,1229.0,124856.0
Albany,09/18/2020,-28.0,-3.0,80.0,-39.0,-40.0,11.0,09/18/2020,Albany,27.0,3006.0,1322.0,126178.0
Albany,09/19/2020,-24.0,-8.0,,-35.0,-12.0,2.0,09/19/2020,Albany,10.0,3016.0,1147.0,127325.0
Albany,09/20/2020,-23.0,-7.0,223.0,-39.0,-13.0,1.0,09/20/2020,Albany,8.0,3024.0,669.0,127994.0
Albany,09/21/2020,-22.0,-2.0,56.0,-41.0,-43.0,11.0,09/21/2020,Albany,13.0,3037.0,776.0,128770.0
Albany,09/22/2020,-24.0,-5.0,49.0,-40.0,-42.0,11.0,09/22/2020,Albany,6.0,3043.0,869.0,129639.0
Albany,09/23/2020,-25.0,-3.0,57.0,-38.0,-40.0,12.0,09/23/2020,Albany,10.0,3053.0,1519.0,131158.0
